id,username,text,keywords,date,location
1189688984127131648,daimolincho,"Si lo que vemos es la manera
con la que quieren que volvamos a la normalidad
permitan que sospeche
de que se trata esa ""normalidad""
#renunciaPiñera https://t.co/MB1V6nFpCO",['#RenunciaPiñera'],2019-10-30 23:42:11,
1189663542905053185,caroconsul,"#chiledesperto no entienden los que quieren poner  hashtag pazparachile, llamando contra la movilización:  SOMOS el  ""87% de los chilenos!!! queremos #nuevaconstitucion #renunciapiñera #chiledesperto #EstoNoHaAcabado @baradit @PamJiles @monlaferte @jarrate @jcoulon",['#RenunciaPiñera'],2019-10-30 22:01:06,
1189684409005420544,fransvilll,#NosSiguenMatando #RenunciaPiñera basta estamos cansados de tus mentiras y mensajes de humildad. Para tu web.@sebastianpinera juicio y castigo culpable de asesinar a su pueblo. https://t.co/duOW7coBsv,['#RenunciaPiñera'],2019-10-30 23:24:01,"Santiago, Chile"
1189686718192062465,FemininjaDelSur,"@Carabdechile es es un buen proceder? Institucion nefasta y asesina. Cambien su caga' de himno por uno mas realista
#ChileViolatesHumanRights
#PineraDictador
#RenunciaPiñera https://t.co/pZ5G7axERT",['#RenunciaPiñera'],2019-10-30 23:33:11,"La Pintana, Chile"
1189661656877600768,daniiiiwis,"Si esto no es violencia sr Presidente, no se que lo es #RenunciaPiñera https://t.co/rD1eoNr8HJ",['#RenunciaPiñera'],2019-10-30 21:53:36,"Santiago, Chile"
1189676619587342336,prensaobrera,"Romina Del Plá y Gabriel Solano en la Chile rebelada
https://t.co/uq1O0qWLbc

#ChileResiste #Chiledesperto #Chile #PiñeraRenuncia #RenunciaPiñera #fuerapiñera",['#RenunciaPiñera'],2019-10-30 22:53:03,Argentina
1189683721861025793,narigonsote,"Por tu indolencia, avaricia, egocentrismo y psicopatía, has pasado a la historia... #PiñeraVergüenzaMundial #RenunciaPiñera #EstoNoHaTermimado",['#RenunciaPiñera'],2019-10-30 23:21:17,En el espacio de lo público
1189688156557398016,daimolincho,"Piñera sigue en guerra con los ciudadanos
aunque ya no lo repita
alaba el comportamiento de las fuerzas de orden
y justifica hechos de sangre
El accionar de FFEE sigue siendo violenta
aunque no está Chadwick
es parte del accionar del gobierno
#renunciaPiñera https://t.co/Puhw6ubtzR",['#RenunciaPiñera'],2019-10-30 23:38:54,
1189669613774221312,jitrimegisto,"Esta más que claro q la imagen del #PresimientePuñeta estalló en mil pedazos y está hecha polvo en las fronteras del borde exterior.

#RenunciaPiñera 

Te suicidaste políticamente.",['#RenunciaPiñera'],2019-10-30 22:25:13,Planeta Tierra
1189687627793879040,panchokauseo,Mural terminado #ElPuebloUnido #LosMurosHablan #RenunciaPiñera en Santiago Metropolitan Region https://t.co/SRze0jd1yt,['#RenunciaPiñera'],2019-10-30 23:36:48,On tour
1189668420419235840,trip_swati,#RenunciaPiñera #LaTVNosCensura  #ChileProtests #piñera así es como el pueblo reprime a los vulnerables con sus armas!¡¡ https://t.co/RnjHLhFDZn,['#RenunciaPiñera'],2019-10-30 22:20:29,
1189683281899507712,SebastianSilvaH,"@RicardoLagos @FulvioRossiC La verdad debería quedarse en su casita calentita disfrutando de su beneficio de ser ex presidente que cambiaremos con una #NuevaConstitución no lo necesitamos ya hizo mucho daño al país, queremos soluciones y no más problemas @Ale_FunkyS #RenunciaPiñera #PineraDictador",['#RenunciaPiñera'],2019-10-30 23:19:32,"Santiago, Chile"
1189674978276511744,vargsvillalobos,"""Chile y Haití, un solo pueblo.
#RenunciaPiñera""

Cartel de un hincha chileno, en Copa Mundial Sub 17.

😂",['#RenunciaPiñera'],2019-10-30 22:46:32,"SANTIAGO,CHILE"
1189692600317620224,JenyCastroJ,Yapo pegate la cacha  #RenunciaPiñera #PiñeraVerguenzaMundial,['#RenunciaPiñera'],2019-10-30 23:56:33,"Valparaíso, Chile"
1189692938261061632,WladimirJara,"Hablemos de dialogar con mas de 800 denuncias de violaciones a derechos humanos!

VAYANSE A LA CTM! LA ULTIMA VEZ QUE SE FUERON A DIALOGAR , EL DICTADOR TERMINO DE SENADOR VITALICIO

#PiñeraVerguenzaMundial 
#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 23:57:54,"Santiago, Metropolitana de San"
1189684652962983936,Pablof_HR,"Aguante a todos los independientes !!!

#RenunciaPiñera https://t.co/zUCEQQjSd5",['#RenunciaPiñera'],2019-10-30 23:24:59,"Santiago, Chile"
